[TRANSCEIVER DEBUG] Detectados: 14 | Base: 0xA0000000 | INT: 0xA000E000
[TRANSCEIVER DEBUG]   - Transceptor 0: 0xA0000000
[TRANSCEIVER DEBUG]   - Transceptor 1: 0xA0001000
[TRANSCEIVER DEBUG]   - Transceptor 2: 0xA0002000
[TRANSCEIVER DEBUG]   - Transceptor 3: 0xA0003000
[TRANSCEIVER DEBUG]   - Transceptor 4: 0xA0004000
[TRANSCEIVER DEBUG]   - Transceptor 5: 0xA0005000
[TRANSCEIVER DEBUG]   - Transceptor 6: 0xA0006000
[TRANSCEIVER DEBUG]   - Transceptor 7: 0xA0007000
[TRANSCEIVER DEBUG]   - Transceptor 8: 0xA0008000
[TRANSCEIVER DEBUG]   - Transceptor 9: 0xA0009000
[TRANSCEIVER DEBUG]   - Transceptor 10: 0xA000A000
[TRANSCEIVER DEBUG]   - Transceptor 11: 0xA000B000
[TRANSCEIVER DEBUG]   - Transceptor 12: 0xA000C000
[TRANSCEIVER DEBUG]   - Transceptor 13: 0xA000D000

=== BENCHMARK DE TRANSPORTE: GPIO ===
Reloj del sistema: 99990008 Hz
BENCH,variant,test,metric,unit,value,note
BENCH,GPIO,footprint,static_bytes,B,0,buffers en .bss
BENCH,GPIO,footprint,heap_bytes,B,114688,buffers con malloc
BENCH,GPIO,footprint,total_bytes,B,114688,
BENCH,GPIO,footprint,irq_lines,count,1,lineas PL->PS
BENCH,GPIO,footprint,isr_count,count,1,
BENCH,GPIO,footprint,task_count,count,14,tareas del driver
BENCH,GPIO,footprint,sem_count,count,28,semaforos del driver
BENCH,GPIO,footprint,tx_blocking,bool,0,Send espera a la TX fisica
BENCH,GPIO,footprint,tx_concurrent,bool,1,varios canales TX a la vez
BENCH,GPIO,footprint,channels,count,14,
BENCH,GPIO,T0_selftest,channels,count,14,esperados 14
BENCH,GPIO,T0_selftest,tx_datapath,bool,1,el driver mueve bytes al HW
BENCH,GPIO,T0_selftest,rx_link,bool,1,lazo CH0->CH1 cerrado
BENCH,GPIO,T0_selftest,bytes_rx,count,8,de 8 enviados
[BENCH] Autodiagnostico OK: 14 canales, lazo CH0->CH1 cerrado.
BENCH,GPIO,T1_latency,avg,us,4607,frame de 11 B
BENCH,GPIO,T1_latency,p50,us,4609,
BENCH,GPIO,T1_latency,p95,us,4611,
