PCB,test,metric,unit,value,note
PCB,T1_reposo,bytes_espurios,count,0,CH0
PCB,T1_reposo,bytes_espurios,count,0,CH1
PCB,T1_reposo,bytes_espurios,count,0,CH2
PCB,T1_reposo,bytes_espurios,count,0,CH3
PCB,T1_reposo,bytes_espurios,count,0,CH4
PCB,T1_reposo,bytes_espurios,count,0,CH5
PCB,T1_reposo,bytes_espurios,count,0,CH6
PCB,T1_reposo,bytes_espurios,count,0,CH7
PCB,T1_reposo,bytes_espurios,count,0,CH8
PCB,T1_reposo,bytes_espurios,count,0,CH9
PCB,T1_reposo,bytes_espurios,count,0,CH10
PCB,T1_reposo,bytes_espurios,count,0,CH11
PCB,T1_reposo,bytes_espurios,count,0,CH12
PCB,T1_reposo,bytes_espurios,count,0,CH13
PCB,T1_reposo,total_espurios,count,0,lineas en reposo, fail-safe OK
PCB,T2_matriz,bytes_ok,count,32,CH0->CH1
PCB,T2_matriz,bytes_ok,count,32,CH0->CH2
PCB,T2_matriz,bytes_ok,count,32,CH0->CH3
PCB,T2_matriz,bytes_ok,count,25,CH0->CH4
PCB,T2_matriz,bytes_ok,count,32,CH0->CH5
PCB,T2_matriz,bytes_ok,count,32,CH0->CH6
PCB,T2_matriz,bytes_ok,count,32,CH1->CH0
PCB,T2_matriz,bytes_ok,count,3,CH1->CH2
PCB,T2_matriz,bytes_ok,count,32,CH1->CH3
PCB,T2_matriz,bytes_ok,count,24,CH1->CH4
PCB,T2_matriz,bytes_ok,count,32,CH1->CH5
PCB,T2_matriz,bytes_ok,count,32,CH1->CH6
PCB,T2_matriz,bytes_ok,count,32,CH2->CH0
PCB,T2_matriz,bytes_ok,count,24,CH2->CH1
PCB,T2_matriz,bytes_ok,count,32,CH2->CH3
PCB,T2_matriz,bytes_ok,count,32,CH2->CH4
PCB,T2_matriz,bytes_ok,count,32,CH2->CH5
PCB,T2_matriz,bytes_ok,count,32,CH2->CH6
PCB,T2_matriz,bytes_ok,count,32,CH3->CH0
PCB,T2_matriz,bytes_ok,count,21,CH3->CH1
PCB,T2_matriz,bytes_ok,count,23,CH3->CH2
PCB,T2_matriz,bytes_ok,count,3,CH3->CH4
PCB,T2_matriz,bytes_ok,count,32,CH3->CH5
PCB,T2_matriz,bytes_ok,count,32,CH3->CH6
PCB,T2_matriz,bytes_ok,count,32,CH4->CH0
PCB,T2_matriz,bytes_ok,count,32,CH4->CH1
PCB,T2_matriz,bytes_ok,count,32,CH4->CH2
PCB,T2_matriz,bytes_ok,count,32,CH4->CH3
PCB,T2_matriz,bytes_ok,count,32,CH4->CH5
PCB,T2_matriz,bytes_ok,count,32,CH4->CH6
PCB,T2_matriz,bytes_ok,count,32,CH5->CH0
PCB,T2_matriz,bytes_ok,count,32,CH5->CH1
PCB,T2_matriz,bytes_ok,count,32,CH5->CH2
PCB,T2_matriz,bytes_ok,count,32,CH5->CH3
PCB,T2_matriz,bytes_ok,count,4,CH5->CH4
PCB,T2_matriz,bytes_ok,count,32,CH5->CH6
PCB,T2_matriz,bytes_ok,count,32,CH6->CH0
PCB,T2_matriz,bytes_ok,count,32,CH6->CH1
PCB,T2_matriz,bytes_ok,count,3,CH6->CH2
PCB,T2_matriz,bytes_ok,count,32,CH6->CH3
PCB,T2_matriz,bytes_ok,count,2,CH6->CH4
PCB,T2_matriz,bytes_ok,count,32,CH6->CH5
PCB,T2_matriz,bytes_ok,count,32,CH7->CH8
PCB,T2_matriz,bytes_ok,count,32,CH7->CH9
PCB,T2_matriz,bytes_ok,count,32,CH7->CH10
PCB,T2_matriz,bytes_ok,count,32,CH8->CH7
PCB,T2_matriz,bytes_ok,count,32,CH9->CH7
PCB,T2_matriz,bytes_ok,count,32,CH10->CH7
PCB,T2_matriz,bytes_ok,count,32,CH11->CH12
PCB,T2_matriz,bytes_ok,count,32,CH11->CH13
PCB,T2_matriz,bytes_ok,count,32,CH12->CH11
PCB,T2_matriz,bytes_ok,count,32,CH13->CH11
PCB,T2_matriz,enlaces_ok,count,52,de los esperados por los jumpers
PCB,T2_matriz,enlaces_esperados,count,60,
PCB,T2_matriz,enlaces_faltan,count,8,esperados que no se oyen: cableado o driver muerto
PCB,T2_matriz,enlaces_extra,count,0,no esperados que se oyen: cruce entre buses
PCB,T3_multidrop,esclavos_integros,count,6,9600
